3  #sample 3-d input  
590  #number of points
0.647834 0.366986 0.667557
0.796811 0.200795 0.569889
0.802902 0.332914 0.494486
-0.810516 0.328351 0.485026
-0.804983 0.197960 0.559298
-0.660476 0.362672 0.657450
0.688884 0.145913 0.710034
-0.700733 0.144016 0.698736
0.548121 0.237886 0.801856
-0.563892 0.235387 0.791593
0.461118 0.413605 0.785049
-0.478503 0.409982 0.776498
0.494891 0.551842 0.671233
-0.510802 0.546847 0.663355
0.604180 0.572000 0.554781
-0.617049 0.565946 0.546769
0.733660 0.480674 0.480308
-0.743018 0.474683 0.471806
0.108057 -0.983943 0.142056
0.044973 -0.997681 0.051081
0.100620 -0.991745 0.079483
-0.113980 -0.990333 0.079054
-0.058202 -0.997007 0.050897
-0.121943 -0.982401 0.141486
-0.009656 0.848065 0.529805
0.216560 0.872146 0.438706
-0.008446 0.962760 0.270227
-0.008446 0.962760 0.270227
-0.234134 0.868832 0.436248
-0.009656 0.848065 0.529805
0.538650 -0.773316 0.334423
0.436518 -0.870619 -0.226878
0.869725 -0.422784 -0.254623
-0.871877 -0.418533 -0.254285
-0.445292 -0.866171 -0.226853
-0.550175 -0.767103 0.329939
0.925226 -0.269786 0.266782
0.568681 -0.569450 0.593573
0.557210 -0.683410 0.471665
-0.569518 -0.677424 0.465560
-0.581796 -0.564129 0.585895
-0.928154 -0.266204 0.260127
0.275423 0.010657 -0.961264
0.424594 -0.015245 -0.905255
0.325059 -0.176877 -0.929005
-0.330735 -0.176419 -0.927087
-0.429832 -0.015225 -0.902780
-0.281257 0.010610 -0.959574
0.815259 -0.044176 -0.577410
0.749959 -0.066566 -0.658127
0.741770 -0.001250 -0.670653
-0.744683 -0.001311 -0.667417
-0.752782 -0.066146 -0.654938
-0.817358 -0.043886 -0.574456
0.661667 0.169602 -0.730365
0.685500 0.132721 -0.715874
0.660917 0.152015 -0.734902
-0.664706 0.150992 -0.731688
-0.689048 0.131779 -0.712634
-0.665472 0.168463 -0.727164
0.638043 0.200417 -0.743461
0.686300 0.109127 -0.719085
0.676949 -0.011717 -0.735937
-0.680478 -0.011705 -0.732675
-0.689817 0.108342 -0.715832
-0.642094 0.199136 -0.740311
-0.665958 -0.144517 -0.731857
-0.571339 -0.044650 -0.819499
-0.719065 -0.191651 -0.667993
-0.772120 -0.182276 -0.608774
0.715842 -0.192924 -0.671082
0.566945 -0.044829 -0.822535
0.662283 -0.145361 -0.735018
0.769445 -0.183616 -0.611751
-0.628786 0.238073 -0.740236
-0.596600 0.164609 -0.785476
0.592239 0.165575 -0.788568
0.624558 0.239564 -0.743328
-0.696789 0.273600 -0.663045
-0.713931 0.241498 -0.657253
0.710456 0.243298 -0.660347
0.693086 0.275578 -0.666100
-0.621008 0.223838 -0.751163
-0.647260 -0.092353 -0.756654
0.616744 0.225217 -0.754258
0.643445 -0.092850 -0.759840
-0.678635 0.272259 -0.682151
0.674767 0.274155 -0.685221
-0.674317 0.234468 -0.700229
0.670485 0.236080 -0.703360
-0.711060 0.126321 -0.691691
0.707727 0.127267 -0.694929
-0.711211 -0.010455 -0.702901
0.707967 -0.010460 -0.706168
-0.714454 -0.110165 -0.690955
0.711236 -0.110857 -0.694157
-0.697945 0.091266 -0.710312
-0.680777 0.090059 -0.726933
0.694519 0.091947 -0.713575
0.677195 0.090709 -0.730191
-0.694120 0.082152 -0.715157
-0.682361 0.008167 -0.730970
0.678843 0.008283 -0.734237
0.690666 0.082766 -0.718422
-0.695247 0.046005 -0.717298
-0.680809 -0.039867 -0.731375
0.677288 -0.040061 -0.734627
0.691828 0.046377 -0.720571
-0.700809 0.006040 -0.713324
-0.725646 -0.053744 -0.685966
0.697461 0.006146 -0.716596
0.722548 -0.054054 -0.689205
-0.692922 -0.027522 -0.720487
-0.684141 -0.053018 -0.727420
0.680650 -0.053299 -0.730667
0.689509 -0.027639 -0.723749
-0.684950 0.098313 -0.721927
-0.694797 0.044451 -0.717831
-0.687683 0.024355 -0.725603
-0.672999 0.042061 -0.738447
0.684206 0.024578 -0.728875
0.691375 0.044812 -0.721105
0.681398 0.099024 -0.725184
0.669381 0.042391 -0.741709
-0.692784 0.082691 -0.716389
-0.687857 0.139222 -0.712370
0.684289 0.140213 -0.715604
0.689318 0.083307 -0.719654
-0.687066 0.117065 -0.717103
-0.682695 0.165019 -0.711827
0.679048 0.166174 -0.715039
0.683515 0.117904 -0.720351
-0.702694 -0.040389 -0.710345
-0.753144 -0.061629 -0.654963
0.750325 -0.062015 -0.658154
0.699373 -0.040595 -0.713603
-0.693228 0.014164 -0.720579
0.689807 0.014323 -0.723852
-0.693200 0.098979 -0.713916
0.689724 0.099705 -0.717175
-0.676992 0.165705 -0.717093
0.673293 0.166853 -0.720303
-0.682279 0.186819 -0.706820
0.678598 0.188123 -0.710011
-0.703041 0.183793 -0.686989
0.699557 0.185132 -0.690178
-0.709649 -0.054126 -0.702473
0.706395 -0.054429 -0.705722
-0.716111 -0.027553 -0.697443
0.712918 -0.027677 -0.700701
-0.711034 0.033318 -0.702368
0.707772 0.033614 -0.705640
-0.698107 0.045400 -0.714553
0.694716 0.045769 -0.717827
-0.707584 0.103659 -0.698985
0.704239 0.104439 -0.702239
-0.713030 0.151310 -0.684612
0.709687 0.152439 -0.687828
-0.729564 0.143053 -0.668784
-0.796255 0.249842 -0.550960
0.793637 0.252041 -0.553729
0.726394 0.144158 -0.671990
-0.723143 0.204076 -0.659861
0.710456 0.243298 -0.660347
0.719825 0.205622 -0.663002
-0.720003 0.236529 -0.652418
0.716598 0.238312 -0.655511
-0.784291 -0.109008 -0.610741
0.781796 -0.109794 -0.613792
0.693086 0.275578 -0.666100
-0.817358 -0.043886 -0.574456
-0.890551 -0.103868 -0.442867
-0.861425 0.188483 -0.471615
-0.796255 0.249842 -0.550960
0.859710 0.190371 -0.473981
0.889365 -0.104796 -0.445026
0.815259 -0.044176 -0.577410
0.793637 0.252041 -0.553729
-0.772120 -0.182276 -0.608774
-0.719065 -0.191651 -0.667993
0.715842 -0.192924 -0.671082
0.769445 -0.183616 -0.611751
-0.719065 -0.191651 -0.667993
0.715842 -0.192924 -0.671082
-0.697687 0.240813 -0.674716
0.694058 0.242550 -0.677829
-0.686497 0.210104 -0.696117
0.682818 0.211583 -0.699280
-0.708107 0.119692 -0.695887
0.704751 0.120586 -0.699131
-0.711019 0.004946 -0.703156
0.707769 0.005046 -0.706426
-0.727257 -0.068410 -0.682947
0.724174 -0.068825 -0.686175
-0.714454 -0.110165 -0.690955
0.711236 -0.110857 -0.694157
-0.711211 -0.010455 -0.702901
0.707967 -0.010460 -0.706168
-0.711060 0.126321 -0.691691
0.707727 0.127267 -0.694929
0.670485 0.236080 -0.703360
0.674767 0.274155 -0.685221
-0.595621 -0.308062 -0.741845
-0.401866 -0.456754 -0.793649
0.396035 -0.458345 -0.795661
0.591217 -0.309705 -0.744678
-0.571339 -0.044650 -0.819499
0.566945 -0.044829 -0.822535
-0.458243 0.204558 -0.864968
-0.320944 0.265074 -0.909247
0.314909 0.265836 -0.911133
0.452934 0.205429 -0.867554
-0.596600 0.164609 -0.785476
0.592239 0.165575 -0.788568
-0.997825 -0.061645 0.023365
0.997696 -0.062365 0.026702
-0.656868 0.460735 -0.596865
-0.586142 0.352982 -0.729274
-0.713931 0.241498 -0.657253
0.581317 0.355042 -0.732131
0.710456 0.243298 -0.660347
0.652233 0.463977 -0.599431
-0.763095 0.485678 -0.426383
0.759309 0.490021 -0.428170
-0.878879 0.432132 -0.202076
0.876469 0.437093 -0.201870
-0.978276 0.149301 -0.143823
-0.909287 0.401548 -0.109344
0.907233 0.406524 -0.108009
0.978109 0.151314 -0.142855
-0.694876 0.718721 -0.024238
-0.691574 0.717322 0.084700
0.683506 0.724652 0.087750
0.687562 0.725781 -0.022354
-0.469017 0.876877 0.105405
-0.303280 0.933115 0.193178
0.288477 0.937410 0.195046
0.456907 0.882979 0.107628
-0.468174 0.816325 -0.338270
-0.006009 0.961976 -0.273069
-0.006009 0.961976 -0.273069
0.459423 0.821008 -0.338934
-0.816890 0.525602 -0.237557
-0.860635 0.507848 -0.037379
0.857073 0.513989 -0.035224
0.813263 0.531119 -0.237732
-0.616363 0.622874 -0.481793
0.610494 0.627250 -0.483584
-0.381169 0.726462 -0.571808
-0.518543 0.558529 -0.647424
0.373215 0.729466 -0.573228
0.512444 0.561546 -0.649667
-0.329623 0.582042 -0.743354
-0.456577 0.440350 -0.773065
0.322486 0.583929 -0.745003
0.450648 0.442297 -0.775429
-0.003824 0.570327 -0.821409
-0.003352 0.315374 -0.948962
-0.003824 0.570327 -0.821409
-0.003352 0.315374 -0.948962
-0.004739 0.813410 -0.581672
-0.004739 0.813410 -0.581672
-0.003125 0.016927 -0.999852
-0.003125 0.016927 -0.999852
-0.381581 -0.921517 -0.072122
-0.518780 -0.832386 0.194938
0.507841 -0.838398 0.197955
0.371084 -0.925849 -0.071417
-0.005605 -0.980234 -0.197762
-0.006139 -0.997854 -0.065189
-0.005605 -0.980234 -0.197762
-0.006139 -0.997854 -0.065189
-0.003409 -0.511418 -0.859325
-0.003409 -0.511418 -0.859325
