3  #sample 3-d input  
590  #number of points
0.634452 0.358677 0.684706
0.788065 0.196807 0.583285
0.789146 0.328898 0.518724
-0.796899 0.325230 0.509095
-0.796685 0.194571 0.572220
-0.647098 0.355164 0.674628
0.686427 0.138779 0.713833
-0.699176 0.137335 0.701635
0.548302 0.228849 0.804359
-0.565420 0.226670 0.793045
0.459547 0.404506 0.790691
-0.478064 0.401148 0.781368
0.485608 0.539713 0.687673
-0.501355 0.535430 0.679675
0.589244 0.560040 0.582363
-0.601486 0.555151 0.574476
0.717146 0.473305 0.511551
-0.726199 0.468538 0.503098
0.109689 -0.975707 0.189644
0.047126 -0.992149 0.115839
0.102906 -0.985153 0.137421
-0.113336 -0.984075 0.136933
-0.057094 -0.991651 0.115623
-0.121117 -0.974474 0.189025
-0.014159 0.884354 0.466603
0.224338 0.891000 0.394704
-0.010016 0.971021 0.238784
-0.010016 0.971021 0.238784
-0.247090 0.886482 0.391274
-0.014159 0.884354 0.466603
0.539687 -0.839860 0.058081
0.370967 -0.792148 -0.484650
0.748145 -0.411661 -0.520398
-0.755259 -0.404201 -0.515951
-0.387280 -0.785420 -0.482834
-0.560104 -0.826708 0.053268
0.944375 -0.312256 0.103209
0.622332 -0.704526 0.341095
0.582579 -0.788006 0.199117
-0.604577 -0.773334 0.190898
-0.645753 -0.689224 0.328592
-0.947594 -0.304968 0.095184
0.261615 0.012915 -0.965086
0.401466 -0.013195 -0.915779
0.296546 -0.164583 -0.940730
-0.302836 -0.164011 -0.938824
-0.406614 -0.013050 -0.913507
-0.267067 0.012944 -0.963591
0.781186 -0.046087 -0.622595
0.718168 -0.065448 -0.692786
0.711166 -0.002473 -0.703020
-0.714253 -0.002265 -0.699884
-0.721223 -0.064731 -0.689672
-0.783639 -0.045432 -0.619553
0.694499 0.197330 -0.691905
0.721311 0.159798 -0.673926
0.707822 0.186942 -0.681205
-0.708827 0.186420 -0.680303
-0.722587 0.159251 -0.672687
-0.695998 0.196634 -0.690595
0.690787 0.243631 -0.680777
0.745524 0.146776 -0.650116
0.734349 0.014376 -0.678620
-0.735009 0.014440 -0.677903
-0.746068 0.146456 -0.649564
-0.691648 0.243041 -0.680113
-0.660508 -0.136143 -0.738373
-0.549994 -0.040169 -0.834202
-0.658228 -0.184858 -0.729770
-0.753875 -0.175852 -0.633047
0.653559 -0.186635 -0.733504
0.545888 -0.040507 -0.836879
0.657660 -0.137076 -0.740739
0.751355 -0.177436 -0.635596
-0.642335 0.257950 -0.721712
-0.599463 0.176193 -0.780769
0.596485 0.176907 -0.782885
0.639910 0.259036 -0.723475
-0.709551 0.292718 -0.640979
-0.714193 0.250483 -0.653595
0.711724 0.251939 -0.655726
0.707416 0.294200 -0.642658
-0.653473 0.257749 -0.711715
-0.679598 -0.077652 -0.729463
0.651862 0.258574 -0.712892
0.678078 -0.078076 -0.730832
-0.707416 0.304777 -0.637709
0.705843 0.305982 -0.638874
-0.720639 0.278391 -0.634963
0.719744 0.279181 -0.635630
-0.764901 0.164592 -0.622765
0.764354 0.165003 -0.623328
-0.761711 0.014434 -0.647757
0.761033 0.014368 -0.648554
-0.742013 -0.097132 -0.663312
0.740632 -0.097742 -0.664764
-0.733227 0.117131 -0.669820
-0.730024 0.122962 -0.672269
0.732056 0.117498 -0.671036
0.729234 0.123255 -0.673072
-0.723954 0.104929 -0.681822
-0.728444 0.033054 -0.684308
0.727541 0.033055 -0.685267
0.722587 0.105269 -0.683218
-0.718549 0.064287 -0.692499
-0.710997 -0.022985 -0.702819
0.709568 -0.023213 -0.704255
0.716974 0.064461 -0.694113
